launch_idx,elapsed_secs,launch_secs,grid,placed_min,placed_med,placed_max,nodes,nodes_per_sec,best_placed
69,0.740,0.008,4096,9,12,75,50914304,6409933940.8,101
70,0.753,0.013,4096,20,35,77,133535744,10572024947.7,101
71,0.759,0.005,4096,8,10,39,49167360,10537736316.1,101
72,0.770,0.011,4096,25,38,76,158527488,14026391942.2,101
73,0.775,0.004,4096,20,23,38,93039616,21997526450.2,101
74,0.780,0.004,4096,20,22,38,92264448,22522074401.3,101
75,0.788,0.008,4096,20,20,38,91581440,11612700833.6,101
76,0.798,0.010,4096,20,35,77,132722688,13860042719.6,101
77,0.809,0.011,4096,7,18,81,85409792,7950459607.7,101
78,0.818,0.008,4096,9,12,64,51043328,6208268475.5,101
79,0.829,0.011,4096,20,35,77,131573760,12053720477.8,101
80,0.835,0.006,4096,8,10,48,48628736,8832789299.5,101
81,0.846,0.011,4096,15,35,67,145593344,13701953822.3,101
82,0.852,0.005,4096,20,22,38,92953600,18028847366.1,101
83,0.859,0.007,4096,20,22,38,92353536,13776563583.8,101
84,0.864,0.005,4096,20,20,40,91085824,19836946716.8,101
85,0.873,0.008,4096,20,35,67,131778560,15641238436.9,101
86,0.886,0.013,4096,7,18,93,85855232,6798162003.0,101
87,0.897,0.011,4096,9,12,79,50750464,4636277024.1,101
88,0.906,0.008,4096,20,35,69,132550656,15802228371.4,101
89,0.911,0.005,4096,8,10,39,49258496,10905869246.0,101
90,0.930,0.019,4096,18,63,92,229687296,12347439724.0,101
91,0.935,0.005,4096,20,22,48,92993536,17313089139.7,101
92,0.941,0.005,4096,20,22,48,92337152,17655179165.3,101
93,0.946,0.004,4096,20,20,38,91372544,20519576145.7,101
94,0.956,0.009,4096,20,35,76,134430720,14499934527.9,101
95,0.971,0.015,4096,7,18,79,86440960,5917431255.5,101
96,0.980,0.009,4096,9,12,78,50951168,5864846192.6,101
97,0.992,0.012,4096,20,35,70,132789248,11030060844.7,101
98,1.000,0.007,4096,8,10,60,49379328,6690909642.8,101
99,1.017,0.016,4096,15,61,94,246700032,15110699611.2,101
100,1.022,0.005,4096,20,22,38,92607488,20107317494.7,101
101,1.031,0.008,4096,20,22,40,92476416,12082046125.7,101
102,1.036,0.004,4096,20,20,40,91620352,20521969196.6,101
103,1.046,0.009,4096,20,35,79,133059584,14059334889.7,101
104,1.057,0.010,4096,7,18,77,87280640,8477492219.2,101
105,1.070,0.013,4096,9,12,96,50927616,4025572315.3,101
106,1.079,0.008,4096,20,35,66,131409920,15523413778.1,101
107,1.084,0.005,4096,8,10,39,49294336,10170868770.4,101
108,1.104,0.020,4096,18,61,96,269706240,13434215632.6,101
109,1.109,0.004,4096,20,22,38,93024256,20934260831.8,101
110,1.115,0.005,4096,20,22,48,92576768,18403442267.6,101
111,1.120,0.005,4096,20,20,38,91501568,20271749331.2,101
112,1.133,0.013,4096,20,35,75,132133888,10384138802.8,101
113,1.144,0.011,4096,7,18,90,85392384,7495230712.2,101
114,1.152,0.007,4096,9,12,64,50749440,7333576199.0,101
115,1.162,0.010,4096,20,35,71,132202496,13597704191.3,101
116,1.172,0.009,4096,8,10,60,48602112,5346983464.2,101
117,1.184,0.012,4096,30,38,73,199926784,16220443864.6,101
118,1.189,0.005,4096,20,22,38,92763136,20582264926.7,101
119,1.194,0.004,4096,20,22,38,92484608,21379408965.5,101
120,1.204,0.009,4096,20,20,48,92076032,10143776379.6,101
121,1.213,0.009,4096,20,35,78,132817920,14117903667.9,101
122,1.225,0.011,4096,7,18,83,85956608,7902339556.2,101
123,1.235,0.009,4096,9,12,61,50846720,5385149331.3,101
124,1.244,0.009,4096,20,35,69,130918400,14779540900.7,101
125,1.249,0.005,4096,8,10,39,48790528,10529876014.7,101
126,1.267,0.017,4096,35,40,89,172674048,9985039157.1,101
127,1.272,0.005,4096,20,22,44,92822528,18007564057.3,101
128,1.277,0.004,4096,20,22,38,92674048,21300172678.5,101
129,1.282,0.004,4096,20,22,38,92461056,21598453226.4,101
130,1.286,0.004,4096,20,20,38,91431936,22061013347.1,101
131,1.295,0.008,4096,20,35,66,131437568,16141856433.8,101
132,1.309,0.014,4096,7,18,81,85899264,6134394523.6,101
133,1.315,0.006,4096,9,12,52,50736128,9144196821.8,101
134,1.325,0.009,4096,20,35,72,133344256,14870346515.7,101
135,1.330,0.005,4096,8,10,46,48890880,9552156689.3,101
136,1.346,0.015,4096,25,38,76,158296064,10503046324.1,101
137,1.351,0.005,4096,20,22,48,92688384,18263407898.2,101
138,1.356,0.005,4096,20,22,42,92490752,20056522111.5,101
139,1.362,0.005,4096,20,20,45,91465728,16943004974.0,101
140,1.376,0.013,4096,20,35,77,132408320,10016702028.0,101
141,1.386,0.010,4096,7,18,78,84332544,8587372839.1,101
142,1.395,0.009,4096,9,12,86,51032064,5896748334.2,101
143,1.409,0.014,4096,20,35,77,132593664,9643216240.5,101
144,1.414,0.005,4096,8,10,42,48595968,9945945237.9,101
145,1.425,0.011,4096,15,35,70,144036864,13473914862.7,101
146,1.430,0.004,4096,20,22,38,93209600,22237146189.6,101
147,1.437,0.007,4096,20,22,48,92502016,13190113590.8,101
148,1.445,0.007,4096,20,20,48,91467776,13100637889.2,101
149,1.454,0.008,4096,20,35,67,132041728,15653037258.8,101
150,1.464,0.010,4096,7,18,77,85615616,8279238731.3,101
151,1.475,0.011,4096,9,12,65,51041280,4829361478.7,101
152,1.484,0.009,4096,20,35,72,131956736,14888078952.5,101
153,1.489,0.005,4096,8,10,39,49067008,10873476385.0,101
154,1.508,0.018,4096,18,63,92,230829056,12687698148.2,101
155,1.515,0.006,4096,20,22,48,92553216,16090086052.5,101
156,1.519,0.005,4096,20,22,38,92555264,20414514368.4,101
157,1.525,0.005,4096,20,20,38,91593728,19389815754.5,101
158,1.534,0.009,4096,20,35,71,133799936,15143698373.6,101
159,1.548,0.014,4096,7,18,69,84996096,6240702468.1,101
160,1.554,0.006,4096,9,12,56,50663424,8350748615.6,101
161,1.564,0.009,4096,20,35,71,131813376,14819135070.8,101
162,1.569,0.005,4096,8,10,42,48890880,10753969702.9,101
163,1.588,0.018,4096,15,61,94,246381568,13360342766.1,101
164,1.592,0.004,4096,20,22,38,92563456,21593258937.0,101
165,1.597,0.004,4096,20,22,38,92357632,21209260114.0,101
166,1.603,0.005,4096,20,20,48,91752448,17430911410.0,101
167,1.616,0.013,4096,20,35,77,132408320,10251609320.2,101
168,1.628,0.011,4096,7,18,81,84749312,7934444757.6,101
169,1.636,0.008,4096,9,12,79,51110912,6150919522.6,101
170,1.650,0.013,4096,20,35,77,131408896,10038511663.0,101
171,1.655,0.005,4096,8,10,42,48917504,9454733251.6,101
172,1.672,0.016,4096,18,61,96,269264896,17006045354.1,101
173,1.680,0.008,4096,20,22,38,92875776,11737307416.6,101
174,1.686,0.005,4096,20,22,38,92332032,18736439716.5,101
175,1.691,0.004,4096,20,20,38,91397120,20499756754.0,101
176,1.700,0.009,4096,20,35,78,131781632,13902484007.0,101
177,1.714,0.013,4096,7,18,70,85728256,6443516576.6,101
178,1.722,0.007,4096,9,12,64,50748416,6850950523.1,101
179,1.730,0.008,4096,20,35,66,132415488,16214926984.4,101
180,1.735,0.005,4096,8,10,39,48855040,10803990496.1,101
181,1.752,0.016,4096,30,38,73,199991296,12193661081.1,101
182,1.758,0.005,4096,20,22,48,92556288,17043420296.4,101
183,1.762,0.004,4096,20,22,38,92621824,21399859662.9,101
184,1.767,0.004,4096,20,20,38,91626496,20818719796.3,101
185,1.778,0.010,4096,20,35,77,131832832,13067616499.3,101
186,1.792,0.014,4096,7,18,75,85054464,6266790802.3,101
187,1.798,0.006,4096,9,12,57,50540544,7850470495.0,101
188,1.808,0.009,4096,20,35,76,131999744,14212740152.7,101
189,1.816,0.008,4096,8,10,39,49670144,6411958972.4,101
190,1.831,0.014,4096,35,40,89,173299712,12277172978.2,101
191,1.836,0.004,4096,20,22,38,92794880,21789699947.7,101
192,1.840,0.004,4096,20,22,38,92475392,21237863522.5,101
193,1.848,0.008,4096,20,22,47,92419072,12062694795.5,101
194,1.854,0.006,4096,20,20,38,91537408,16130971549.4,101
195,1.864,0.009,4096,20,35,78,130960384,14403468612.6,101
196,1.875,0.011,4096,7,18,79,85894144,7944454212.5,101
197,1.887,0.011,4096,9,12,74,51132416,4553141456.8,101
198,1.897,0.010,4096,20,35,77,131259392,13511734346.1,101
199,1.902,0.004,4096,8,10,39,48907264,11351712484.6,101
200,1.915,0.013,4096,25,38,76,158267392,12188082297.2,101
201,1.922,0.007,4096,20,22,38,92851200,13890849108.1,101
202,1.927,0.004,4096,20,22,38,92519424,21256782706.6,101
203,1.932,0.005,4096,20,20,38,91609088,20067171917.9,101
204,1.941,0.009,4096,20,35,77,132230144,14570890229.4,101
205,1.956,0.015,4096,7,18,79,85381120,5837287306.4,101
206,1.962,0.006,4096,9,12,56,51238912,8440801036.5,101
207,1.972,0.009,4096,20,35,77,133850112,14701226730.4,101
208,1.977,0.004,4096,8,10,39,48839680,11176051423.0,101
209,1.992,0.015,4096,15,35,70,144934912,9918822259.0,101
210,1.998,0.005,4096,20,22,48,92905472,17143906964.1,101
211,2.002,0.004,4096,20,22,38,92820480,22632175169.5,101
212,2.009,0.006,4096,20,20,55,91788288,14937567160.5,101
213,2.021,0.012,4096,20,35,77,131562496,10788800525.6,101
214,2.033,0.011,4096,7,18,83,86891520,7670955405.2,101
215,2.041,0.007,4096,9,12,71,50794496,6814387105.6,101
216,2.049,0.008,4096,20,35,67,133171200,16070385166.9,101
217,2.058,0.008,4096,8,10,39,49310720,6228740360.2,101
218,2.073,0.015,4096,18,63,92,230043648,15317506825.7,101
219,2.078,0.005,4096,20,22,38,93054976,20587402289.7,101
220,2.084,0.005,4096,20,22,48,92821504,17277246168.5,101
221,2.092,0.008,4096,20,20,38,91700224,11773489402.1,101
222,2.103,0.010,4096,20,35,77,134315008,13152013928.0,101
223,2.113,0.010,4096,7,18,73,85683200,9001727052.6,101
224,2.120,0.007,4096,9,12,61,50717696,6948647137.5,101
225,2.132,0.012,4096,20,35,74,131227648,11209669856.8,101
226,2.137,0.004,4096,8,10,39,49227776,11425776676.9,101
227,2.153,0.015,4096,15,61,94,246952960,16355688886.8,101
228,2.161,0.008,4096,20,22,38,92511232,11591834525.3,101
229,2.165,0.004,4096,20,22,38,92273664,22563556425.0,101
230,2.171,0.005,4096,20,20,43,91591680,18315061267.0,101
231,2.180,0.009,4096,20,35,78,133052416,14291000517.3,101
232,2.195,0.014,4096,7,18,77,84690944,6094319645.0,101
233,2.203,0.007,4096,9,12,67,50988032,7144954569.1,101
234,2.211,0.008,4096,20,35,66,132147200,15916465152.2,101
235,2.216,0.004,4096,8,10,39,48882688,11586988300.1,101
236,2.236,0.020,4096,18,61,96,270613504,13408936803.7,101
237,2.242,0.005,4096,20,22,48,92877824,17089141057.3,101
238,2.247,0.004,4096,20,22,38,92450816,21097275953.8,101
239,2.253,0.005,4096,20,20,48,91260928,16832843594.7,101
240,2.267,0.013,4096,20,35,77,131138560,10104561866.0,101
241,2.277,0.010,4096,7,18,70,86019072,8514186389.1,101
242,2.285,0.007,4096,9,12,67,50944000,7265525847.1,101
243,2.297,0.012,4096,20,35,72,131836928,10975993534.1,101
244,2.303,0.005,4096,8,10,44,48884736,10109701974.7,101
245,2.315,0.012,4096,30,38,76,200835072,16281024974.2,101
246,2.321,0.005,4096,20,22,45,92800000,18518666336.7,101
247,2.328,0.007,4096,20,22,45,92323840,13801308588.3,101
248,2.334,0.006,4096,20,20,38,91549696,15090998943.4,101
249,2.343,0.008,4096,20,35,66,132489216,16122452019.3,101
250,2.355,0.011,4096,7,18,82,85682176,7556826989.4,101
251,2.364,0.009,4096,9,12,57,50742272,5627829468.7,101
252,2.374,0.010,4096,20,35,77,132741120,13366775836.8,101
253,2.379,0.004,4096,8,10,42,48922624,11055750354.1,101
254,2.396,0.016,4096,35,40,95,173902848,10696416857.4,101
255,2.402,0.006,4096,20,22,39,92681216,16600198562.1,101
256,2.407,0.005,4096,20,22,42,92628992,18707455273.7,101
257,2.412,0.004,4096,20,22,38,92486656,20713585414.1,101
258,2.417,0.005,4096,20,20,41,91516928,20005387995.6,101
259,2.426,0.008,4096,20,35,66,132361216,16046730520.8,101
260,2.440,0.014,4096,7,18,77,85338112,6199671920.1,101
261,2.446,0.006,4096,9,12,57,50448384,8481492521.5,101
262,2.456,0.009,4096,20,35,77,132193280,14493701169.0,101
263,2.461,0.005,4096,8,10,43,50045952,9937148064.0,101
264,2.477,0.015,4096,25,38,76,158436352,10361436466.7,101
265,2.483,0.006,4096,20,22,50,92689408,16555032394.1,101
266,2.487,0.004,4096,20,22,38,92473344,22674049340.2,101
267,2.492,0.004,4096,20,20,38,91443200,20650555551.4,101
268,2.505,0.013,4096,20,35,77,132118528,10191563571.6,101
269,2.516,0.010,4096,7,18,74,85163008,8696270997.9,101
270,2.522,0.006,4096,9,12,61,50808832,8043186302.1,101
271,2.532,0.009,4096,20,35,69,131764224,14939383151.1,101
272,2.539,0.007,4096,8,10,39,48826368,6701257591.5,101
273,2.550,0.011,4096,15,35,70,145082368,13714945170.4,101
274,2.556,0.005,4096,20,22,48,92674048,17487388477.2,101
275,2.562,0.005,4096,20,22,44,92497920,18026995496.9,101
276,2.566,0.004,4096,20,20,38,91098112,21295870525.9,101
277,2.580,0.013,4096,20,35,77,132690944,10257830343.2,101
278,2.590,0.010,4096,7,18,70,85161984,8736738133.4,101
279,2.597,0.007,4096,9,12,66,51232768,7453668489.3,101
280,2.611,0.014,4096,20,35,77,132065280,9740351750.9,101
281,2.618,0.005,4096,8,10,48,49399808,9517821805.3,101
282,2.636,0.018,4096,18,63,92,229470208,12656167908.6,101
283,2.643,0.007,4096,20,22,40,92751872,13674940760.3,101
284,2.649,0.005,4096,20,22,48,92414976,17439472945.3,101
285,2.659,0.007,4096,20,20,48,91473920,12548845732.6,101
286,2.670,0.010,4096,20,35,77,131990528,12749384556.6,101
287,2.684,0.013,4096,7,18,80,85540864,6605510889.5,101
288,2.691,0.007,4096,9,12,64,50549760,7369650599.6,101
289,2.701,0.009,4096,20,35,77,132718592,14574305091.4,101
290,2.709,0.008,4096,8,10,39,49408000,6162129816.1,101
291,2.724,0.015,4096,15,61,94,246612992,16753203932.4,101
292,2.730,0.005,4096,20,22,48,92747776,17800916303.7,101
293,2.735,0.004,4096,20,22,38,92579840,21538916105.3,101
294,2.743,0.008,4096,20,20,38,91255808,11463725741.3,101
295,2.753,0.009,4096,20,35,69,131215360,14669404635.0,101
296,2.763,0.010,4096,7,18,73,85424128,8396635453.2,101
297,2.772,0.008,4096,9,12,75,51176448,6235138038.5,101
298,2.784,0.012,4096,20,35,67,132754432,11339091491.9,101
299,2.790,0.006,4096,8,10,49,48716800,8343669407.3,101
300,2.812,0.021,4096,18,61,112,270558208,12991832944.4,101
301,2.823,0.004,4096,20,22,39,92571648,21328934141.4,112
302,2.828,0.005,4096,20,22,45,92551168,18747699460.4,112
303,2.833,0.005,4096,20,20,38,91533312,18690715483.6,112
304,2.846,0.013,4096,20,35,77,133007360,10512143026.8,112
305,2.857,0.010,4096,7,18,79,85934080,8454932273.7,112
306,2.864,0.007,4096,9,12,64,50890752,7680700100.0,112
307,2.874,0.009,4096,20,35,77,131942400,14109944346.2,112
308,2.883,0.008,4096,8,10,39,49081344,5862394450.2,112
309,2.895,0.012,4096,30,38,73,199924736,16477726707.8,112
310,2.900,0.004,4096,20,22,36,92219392,22504560851.9,112
311,2.904,0.004,4096,20,22,38,92430336,21538639498.4,112
312,2.911,0.006,4096,20,20,38,91042816,15167563742.1,112
313,2.922,0.010,4096,20,35,72,131459072,12547104181.2,112
314,2.932,0.010,4096,7,18,72,85066752,8573390754.8,112
315,2.939,0.007,4096,9,12,64,50723840,7636465517.5,112
316,2.952,0.013,4096,20,35,77,132131840,10494352325.3,112
317,2.958,0.005,4096,8,10,46,49275904,9363207894.9,112
318,2.973,0.015,4096,35,40,100,173242368,11690425514.5,112
319,2.981,0.008,4096,20,22,41,92832768,12032722637.6,112
320,2.987,0.006,4096,20,22,48,92685312,16483111736.4,112
321,2.992,0.005,4096,20,22,41,92580864,20282609610.1,112
322,2.998,0.005,4096,20,20,48,91555840,17292004898.5,112
323,3.007,0.009,4096,20,35,77,132278272,14538543801.0,112
324,3.021,0.014,4096,7,18,77,84654080,6101954016.0,112
325,3.029,0.007,4096,9,12,68,50797568,6959580574.8,112
326,3.039,0.009,4096,20,35,77,131147776,14033121939.5,112
327,3.044,0.005,4096,8,10,39,48700416,9978524022.9,112
328,3.061,0.016,4096,25,38,76,158419968,10133316139.6,112
329,3.072,0.011,4096,20,22,42,92617728,8752205398.2,112
330,3.077,0.005,4096,20,22,38,92311552,20212737511.0,112
331,3.083,0.005,4096,20,20,38,91414528,17133835221.2,112
332,3.096,0.012,4096,20,35,77,132004864,11098281074.1,112
333,3.106,0.010,4096,7,18,73,85275648,8862052330.8,112
334,3.116,0.009,4096,9,12,78,50828288,5584279816.2,112
335,3.128,0.011,4096,20,35,79,130712576,11438186531.4,112
336,3.134,0.005,4096,8,10,46,49103872,9252953928.1,112
337,3.145,0.011,4096,15,35,70,143975424,13500357257.9,112
338,3.154,0.009,4096,20,22,48,92502016,10322671417.9,112
339,3.160,0.005,4096,20,22,38,92195840,19304095730.9,112
340,3.164,0.004,4096,20,20,38,91709440,20673769265.3,112
341,3.175,0.010,4096,20,35,78,132780032,12973974962.9,112
342,3.190,0.014,4096,7,18,86,85766144,6014677117.2,112
343,3.198,0.007,4096,9,12,65,50799616,6964974005.2,112
344,3.207,0.009,4096,20,35,76,131539968,14408721210.9,112
345,3.213,0.005,4096,8,10,51,48548864,8989841149.2,112
346,3.232,0.019,4096,18,63,92,230117376,12383171287.1,112
347,3.237,0.004,4096,20,22,41,92795904,21126527073.7,112
348,3.241,0.004,4096,20,22,38,92556288,21325955276.8,112
349,3.247,0.005,4096,20,20,48,91484160,17149962554.1,112
350,3.261,0.013,4096,20,35,77,131675136,10155084072.9,112
351,3.271,0.010,4096,7,18,71,85391360,8909597045.1,112
352,3.279,0.007,4096,9,12,71,50959360,6905255078.9,112
353,3.292,0.013,4096,20,35,76,132076544,10394323644.2,112
354,3.298,0.006,4096,8,10,46,48479232,8715253175.1,112
355,3.313,0.015,4096,15,61,94,246936576,16408473119.7,112
356,3.318,0.005,4096,20,22,38,92587008,19679909604.3,112
357,3.326,0.007,4096,20,22,38,92161024,12981319981.1,112
358,3.331,0.005,4096,20,20,40,91213824,19219520027.3,112
359,3.340,0.009,4096,20,35,72,132525056,15195969850.5,112
360,3.350,0.010,4096,7,18,74,84608000,8666378634.1,112
361,3.362,0.011,4096,9,12,66,50790400,4695821519.1,112
362,3.371,0.009,4096,20,35,77,133397504,14258040953.4,112
363,3.376,0.005,4096,8,10,39,49283072,10927243903.1,112
364,3.396,0.019,4096,18,61,96,267997184,14318021668.8,112
365,3.401,0.005,4096,20,22,48,92721152,17406375625.4,112
366,3.407,0.005,4096,20,22,46,92466176,17874453784.0,112
367,3.412,0.005,4096,20,20,38,91252736,19369446521.7,112
368,3.421,0.009,4096,20,35,77,132630528,14495461265.4,112
369,3.436,0.014,4096,7,18,77,85178368,6110811407.6,112
370,3.444,0.008,4096,9,12,74,50930688,6659222768.2,112
371,3.454,0.009,4096,20,35,77,131970048,13971128251.0,112
372,3.461,0.007,4096,8,10,39,49172480,7284274434.3,112
373,3.475,0.013,4096,30,38,76,199384064,14943292567.3,112
374,3.479,0.004,4096,20,22,38,92655616,21751635558.1,112
375,3.484,0.004,4096,20,22,38,92234752,21498273444.0,112
376,3.489,0.004,4096,20,20,38,91821056,21580768658.6,112
377,3.501,0.012,4096,20,35,72,131809280,10658952651.3,112
378,3.512,0.010,4096,7,18,74,84472832,8123942177.4,112
379,3.519,0.006,4096,9,12,57,50969600,8651273378.3,112
380,3.532,0.013,4096,20,35,77,133914624,10610696902.5,112
381,3.537,0.005,4096,8,10,43,48963584,9611344953.9,112
382,3.552,0.014,4096,35,40,89,173622272,12166397022.1,112
383,3.557,0.005,4096,20,22,38,92844032,19925189784.3,112
384,3.566,0.009,4096,20,22,48,93069312,10637735287.5,112
385,3.571,0.004,4096,20,22,38,92204032,20942729590.5,112
386,3.576,0.004,4096,20,20,38,91404288,20466779206.3,112
387,3.584,0.008,4096,20,35,67,133148672,16090384512.7,112
388,3.597,0.013,4096,7,18,80,85764096,6809942517.7,112
389,3.606,0.008,4096,9,12,65,50854912,6119869749.0,112
390,3.615,0.008,4096,20,35,69,132447232,15829479301.4,112
391,3.621,0.006,4096,8,10,60,48832512,7519714096.2,112
392,3.637,0.015,4096,25,38,76,158641152,10566825192.3,112
393,3.642,0.004,4096,20,22,38,92694528,20857495742.2,112
394,3.647,0.005,4096,20,22,45,92537856,18920360488.9,112
395,3.652,0.005,4096,20,20,38,91801600,20338823833.9,112
396,3.661,0.009,4096,20,35,72,131505152,14578063302.0,112
397,3.676,0.014,4096,7,18,82,85611520,6035441179.0,112
398,3.683,0.007,4096,9,12,64,51158016,7740772712.2,112
399,3.692,0.008,4096,20,35,67,131395584,15470086746.1,112
400,3.697,0.005,4096,8,10,39,49018880,10550386781.0,112
401,3.711,0.013,4096,15,35,70,144441344,10900397675.2,112
402,3.716,0.005,4096,20,22,45,92767232,19225313428.4,112
403,3.721,0.005,4096,20,22,44,92677120,18592350057.4,112
404,3.726,0.004,4096,20,20,38,91361280,21061521788.9,112
405,3.739,0.012,4096,20,35,71,132122624,10866062240.9,112
406,3.749,0.010,4096,7,18,73,85814272,8597844784.6,112
407,3.756,0.007,4096,9,12,62,50659328,7657123199.1,112
408,3.766,0.009,4096,20,35,78,130948096,13816366581.4,112
409,3.775,0.008,4096,8,10,48,49476608,5927944891.7,112
410,3.790,0.015,4096,18,63,92,229688320,15443209365.6,112
411,3.796,0.005,4096,20,22,38,92555264,20089697187.0,112
412,3.803,0.007,4096,20,22,48,92200960,13668704300.4,112
413,3.812,0.008,4096,20,20,60,91675648,10908287503.2,112
414,3.821,0.008,4096,20,35,66,132675584,16258226681.6,112
415,3.831,0.010,4096,7,18,71,86412288,8921753717.8,112
416,3.842,0.011,4096,9,12,65,50945024,4643299096.9,112
417,3.852,0.009,4096,20,35,76,132350976,14337297410.7,112
418,3.857,0.005,4096,8,10,39,49068032,10768156054.3,112
419,3.875,0.018,4096,15,61,94,246672384,13737545523.6,112
420,3.880,0.004,4096,20,22,38,93010944,21323756959.8,112
421,3.885,0.005,4096,20,22,45,92691456,18851259815.5,112
422,3.891,0.006,4096,20,20,47,91347968,16383028849.1,112
423,3.900,0.008,4096,20,35,67,132926464,16027993364.4,112
424,3.914,0.014,4096,7,18,78,84941824,6135075366.5,112
425,3.921,0.007,4096,9,12,63,51068928,7663135478.1,112
426,3.932,0.009,4096,20,35,77,131580928,14114496745.3,112
427,3.937,0.004,4096,8,10,39,48358400,10760732884.5,112
428,3.958,0.021,4096,18,61,101,268678144,13090225298.3,112
429,3.963,0.005,4096,20,22,41,92773376,19750942377.5,112
430,3.967,0.004,4096,20,22,36,91983872,23783763545.9,112
431,3.974,0.006,4096,20,20,43,91744256,14401261048.7,112
432,3.985,0.011,4096,20,35,77,131865600,12123191251.8,112
433,3.995,0.010,4096,7,18,70,86370304,8983893123.1,112
